genome	seed	requested_pieces	scored_contigs	verdict	suspect_contigs	suspect_fraction_pct	replicon_contigs	flagged_groups	carries_core_markers	bimodal	mean_contig_kb
GCA_000300095.1	7	10	10	clean	0	0.0	1	1	0	True	765.1
GCA_000300095.1	0	50	47	clean	0	0.0	4	2	0	True	153.0
GCA_000300095.1	1	50	48	clean	0	0.0	5	1	0	True	153.0
GCA_000300095.1	2	50	49	clean	1	0.07	2	2	0	True	153.0
GCA_000300095.1	3	50	49	clean	0	0.0	9	1	0	True	153.0
GCA_000300095.1	4	50	50	clean	0	0.0	3	1	0	True	153.0
GCA_000300095.1	5	50	49	clean	0	0.0	4	1	0	True	153.0
GCA_000300095.1	6	50	50	clean	0	0.0	3	1	0	True	153.0
GCA_000300095.1	7	50	50	clean	0	0.0	7	1	0	True	153.0
GCA_000300095.1	0	100	97	clean	0	0.0	4	1	0	True	77.3
GCA_000300095.1	1	100	98	clean	0	0.0	6	1	0	True	77.3
GCA_000300095.1	2	100	94	clean	0	0.0	4	1	0	True	77.3
GCA_000300095.1	3	100	98	clean	0	0.0	5	1	0	True	77.3
GCA_000300095.1	4	100	98	clean	0	0.0	8	1	0	True	77.3
GCA_000300095.1	5	100	97	clean	0	0.0	10	1	0	True	77.3
GCA_000300095.1	6	100	96	clean	0	0.0	4	1	0	True	77.3
GCA_000300095.1	7	100	97	clean	0	0.0	2	1	0	True	77.3
GCA_000300095.1	0	300	264	clean	0	0.0	0	1	0	True	25.5
GCA_000300095.1	1	300	271	clean	0	0.0	10	1	0	True	25.5
GCA_000300095.1	2	300	272	clean	1	0.07	0	1	0	True	25.5
GCA_000300095.1	3	300	276	clean	2	0.17	0	1	0	True	25.5
GCA_000300095.1	4	300	259	clean	1	0.07	0	1	0	True	25.5
GCA_000300095.1	5	300	271	clean	0	0.0	3	1	0	True	25.5
GCA_000300095.1	6	300	275	clean	0	0.0	16	1	0	True	25.5
GCA_000300095.1	7	300	276	clean	2	0.58	0	1	0	True	25.5
GCA_000300095.1	0	1000	694	clean	0	0.0	18	1	0	True	7.6
GCA_000300095.1	1	1000	690	clean	1	0.31	27	2	0	True	7.6
GCA_000300095.1	2	1000	671	clean	1	0.21	0	2	0	True	7.6
GCA_000300095.1	3	1000	684	clean	0	0.0	12	1	0	True	7.6
GCA_000300095.1	4	1000	688	clean	5	0.33	0	1	0	True	7.6
GCA_000300095.1	5	1000	702	clean	1	0.04	0	2	0	True	7.6
GCA_000300095.1	6	1000	664	clean	1	0.04	12	2	0	True	7.6
GCA_000300095.1	7	1000	667	clean	0	0.0	0	1	0	True	7.6
GCA_001598055.1	0	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	1	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	2	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	3	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	4	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	5	10	10	clean	0	0.0	0	0	0	True	713.6
GCA_001598055.1	6	10	10	clean	0	0.0	0	0	0	True	713.6
GCA_001598055.1	7	10	10	clean	0	0.0	0	0	0	False	713.6
GCA_001598055.1	0	50	47	clean	0	0.0	6	1	0	True	142.7
GCA_001598055.1	1	50	49	clean	1	0.12	0	1	0	True	142.7
GCA_001598055.1	2	50	47	clean	0	0.0	4	1	0	True	142.7
GCA_001598055.1	3	50	49	clean	0	0.0	3	1	0	True	142.7
GCA_001598055.1	4	50	50	clean	0	0.0	2	1	0	True	142.7
GCA_001598055.1	5	50	49	clean	0	0.0	2	1	0	True	142.7
GCA_001598055.1	6	50	50	clean	0	0.0	2	1	0	True	142.7
GCA_001598055.1	7	50	48	clean	0	0.0	5	1	0	True	142.7
GCA_001598055.1	0	100	99	clean	0	0.0	7	1	0	True	71.4
GCA_001598055.1	1	100	99	clean	0	0.0	0	1	0	True	71.4
GCA_001598055.1	2	100	97	clean	0	0.0	4	1	0	True	71.4
GCA_001598055.1	3	100	95	clean	0	0.0	0	0	0	True	71.4
GCA_001598055.1	4	100	100	clean	0	0.0	14	1	0	True	71.4
GCA_001598055.1	5	100	96	clean	0	0.0	3	1	0	True	71.4
GCA_001598055.1	6	100	96	clean	0	0.0	10	1	0	True	71.4
GCA_001598055.1	7	100	98	clean	0	0.0	0	1	0	True	71.4
GCA_001598055.1	0	300	257	clean	0	0.0	5	1	0	True	23.8
GCA_001598055.1	1	300	266	clean	0	0.0	17	1	0	True	23.8
GCA_001598055.1	2	300	258	clean	0	0.0	23	1	0	True	23.8
GCA_001598055.1	3	300	263	clean	0	0.0	0	1	0	True	23.8
GCA_001598055.1	4	300	265	clean	0	0.0	4	1	0	True	23.8
GCA_001598055.1	5	300	264	clean	0	0.0	12	1	0	True	23.8
GCA_001598055.1	6	300	269	clean	0	0.0	9	1	0	True	23.8
GCA_001598055.1	7	300	267	clean	0	0.0	8	1	0	True	23.8
GCA_001598055.1	0	1000	671	clean	0	0.0	74	1	0	True	7.1
GCA_001598055.1	1	1000	661	clean	2	0.64	64	2	0	True	7.1
GCA_001598055.1	2	1000	652	clean	0	0.0	53	1	0	True	7.1
GCA_001598055.1	3	1000	651	clean	0	0.0	39	1	0	True	7.1
GCA_001598055.1	4	1000	677	clean	0	0.0	11	1	0	True	7.1
GCA_001598055.1	5	1000	661	clean	8	0.66	0	1	0	True	7.1
GCA_001598055.1	6	1000	683	clean	8	0.62	0	1	0	True	7.1
GCA_001598055.1	7	1000	679	clean	5	0.34	0	1	0	True	7.1
GCF_000020045.1	0	10	10	clean	0	0.0	1	1	0	True	867.7
GCF_000020045.1	1	10	10	clean	0	0.0	1	1	0	True	867.7
GCF_000020045.1	2	10	10	clean	0	0.0	1	1	0	False	867.7
GCF_000020045.1	3	10	10	clean	0	0.0	1	1	0	False	867.7
GCF_000020045.1	4	10	10	clean	0	0.0	1	1	0	False	867.7
GCF_000020045.1	5	10	10	clean	0	0.0	1	1	0	False	867.7
GCF_000020045.1	6	10	10	clean	0	0.0	1	1	0	True	867.7
GCF_000020045.1	7	10	10	clean	0	0.0	1	1	0	True	867.7
GCF_000020045.1	0	50	48	clean	0	0.0	4	1	0	False	173.5
GCF_000020045.1	1	50	48	clean	0	0.0	2	1	0	True	173.5
GCF_000020045.1	2	50	49	clean	0	0.0	3	1	0	False	173.5
GCF_000020045.1	3	50	49	clean	0	0.0	4	1	0	False	173.5
GCF_000020045.1	4	50	49	clean	0	0.0	6	1	0	False	173.5
GCF_000020045.1	5	50	48	clean	0	0.0	2	1	0	True	173.5
GCF_000020045.1	6	50	50	clean	0	0.0	0	1	0	True	173.5
GCF_000020045.1	7	50	49	clean	0	0.0	2	1	0	True	173.5
GCF_000020045.1	0	100	98	clean	0	0.0	10	1	0	True	86.8
GCF_000020045.1	1	100	99	clean	0	0.0	10	2	0	True	86.8
GCF_000020045.1	2	100	94	clean	0	0.0	9	1	0	True	86.8
GCF_000020045.1	3	100	98	clean	0	0.0	7	2	0	True	86.8
GCF_000020045.1	4	100	98	clean	0	0.0	5	1	0	True	86.8
GCF_000020045.1	5	100	98	clean	1	0.26	8	2	0	True	86.8
GCF_000020045.1	6	100	98	clean	0	0.0	5	1	0	True	86.8
GCF_000020045.1	7	100	95	clean	0	0.0	12	1	0	True	86.8
GCF_000020045.1	0	300	276	clean	0	0.0	15	1	0	True	28.9
GCF_000020045.1	1	300	274	clean	0	0.0	16	1	0	True	28.9
GCF_000020045.1	2	300	271	clean	0	0.0	11	1	0	True	28.9
GCF_000020045.1	3	300	277	clean	0	0.0	13	1	0	True	28.9
GCF_000020045.1	4	300	269	clean	0	0.0	10	1	0	True	28.9
GCF_000020045.1	5	300	273	clean	1	0.07	14	2	0	True	28.9
GCF_000020045.1	6	300	283	clean	0	0.0	6	1	0	True	28.9
GCF_000020045.1	7	300	275	clean	1	0.08	0	1	0	True	28.9
GCF_000020045.1	0	1000	720	clean	1	0.16	18	2	0	True	8.7
GCF_000020045.1	1	1000	724	clean	1	0.05	37	2	0	True	8.7
GCF_000020045.1	2	1000	691	clean	1	0.23	32	2	0	True	8.7
GCF_000020045.1	3	1000	713	clean	0	0.0	0	1	0	True	8.7
GCF_000020045.1	4	1000	721	clean	1	0.14	14	2	0	True	8.7
GCF_000020045.1	5	1000	718	clean	0	0.0	59	1	0	True	8.7
GCF_000020045.1	6	1000	702	clean	0	0.0	20	1	0	True	8.7
GCF_000020045.1	7	1000	713	clean	0	0.0	32	1	0	True	8.7
GCF_001449005.1	0	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	1	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	2	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	3	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	4	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	5	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	6	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	7	10	10	clean	0	0.0	1	1	0	False	903.2
GCF_001449005.1	0	50	47	clean	0	0.0	5	1	0	False	184.3
GCF_001449005.1	1	50	47	clean	0	0.0	3	1	0	False	184.3
GCF_001449005.1	2	50	49	clean	0	0.0	3	1	0	True	184.3
GCF_001449005.1	3	50	48	clean	0	0.0	4	1	0	True	184.3
GCF_001449005.1	4	50	48	clean	0	0.0	6	1	0	True	184.3
GCF_001449005.1	5	50	48	clean	0	0.0	3	1	0	True	184.3
GCF_001449005.1	6	50	49	clean	0	0.0	3	1	0	False	184.3
GCF_001449005.1	7	50	49	clean	1	0.23	0	1	0	False	184.3
GCF_001449005.1	0	100	98	clean	0	0.0	5	1	0	False	90.3
GCF_001449005.1	1	100	100	clean	0	0.0	2	1	0	False	90.3
GCF_001449005.1	2	100	93	clean	0	0.0	8	1	0	False	90.3
GCF_001449005.1	3	100	99	clean	0	0.0	2	1	0	False	90.3
GCF_001449005.1	4	100	98	clean	0	0.0	8	1	0	True	90.3
GCF_001449005.1	5	100	99	clean	0	0.0	5	1	0	True	90.3
GCF_001449005.1	6	100	97	clean	0	0.0	1	1	0	False	90.3
GCF_001449005.1	7	100	96	clean	0	0.0	7	1	0	False	90.3
GCF_001449005.1	0	300	277	clean	1	0.14	19	2	0	True	30.0
GCF_001449005.1	1	300	276	clean	0	0.0	8	1	0	True	30.0
GCF_001449005.1	2	300	271	clean	0	0.0	3	1	0	True	30.0
GCF_001449005.1	3	300	281	clean	2	0.26	23	3	0	True	30.0
GCF_001449005.1	4	300	272	clean	0	0.0	0	1	0	True	30.0
GCF_001449005.1	5	300	278	clean	1	0.12	0	2	0	True	30.0
GCF_001449005.1	6	300	286	clean	0	0.0	8	1	0	True	30.0
GCF_001449005.1	7	300	278	clean	0	0.0	0	1	0	True	30.0
GCF_001449005.1	0	1000	730	clean	0	0.0	16	1	0	True	9.0
GCF_001449005.1	1	1000	735	clean	1	0.04	19	2	0	True	9.0
GCF_001449005.1	2	1000	701	clean	0	0.0	20	1	0	True	9.0
GCF_001449005.1	3	1000	729	clean	0	0.0	0	1	0	True	9.0
GCF_001449005.1	4	1000	720	clean	0	0.0	15	1	0	True	9.0
GCF_001449005.1	5	1000	725	clean	1	0.1	0	2	0	True	9.0
GCF_001449005.1	6	1000	701	clean	2	0.19	0	3	0	True	9.0
GCF_001449005.1	7	1000	719	clean	2	0.19	35	3	0	True	9.0
GCF_013366925.1	0	10	11	clean	0	0.0	1	1	0	True	862.9
GCF_013366925.1	1	10	11	clean	0	0.0	0	0	0	True	862.9
GCF_013366925.1	2	10	11	clean	0	0.0	0	0	0	True	862.9
GCF_013366925.1	3	10	11	clean	0	0.0	1	1	0	True	862.9
GCF_013366925.1	4	10	11	clean	0	0.0	2	1	0	True	862.9
GCF_013366925.1	5	10	11	clean	0	0.0	2	1	0	True	862.9
GCF_013366925.1	6	10	11	clean	1	0.27	0	1	0	True	862.9
GCF_013366925.1	7	10	11	clean	0	0.0	0	0	0	True	862.9
GCF_013366925.1	0	50	47	clean	0	0.0	0	0	0	False	189.8
GCF_013366925.1	1	50	48	clean	0	0.0	0	0	0	True	189.8
GCF_013366925.1	2	50	48	clean	0	0.0	0	0	0	False	189.8
GCF_013366925.1	3	50	49	clean	0	0.0	0	0	0	False	189.8
GCF_013366925.1	4	50	50	clean	0	0.0	0	0	0	True	189.8
GCF_013366925.1	5	50	50	clean	0	0.0	0	0	0	True	189.8
GCF_013366925.1	6	50	50	clean	0	0.0	2	1	0	True	189.8
GCF_013366925.1	7	50	48	clean	0	0.0	0	0	0	True	189.8
GCF_013366925.1	0	100	101	clean	0	0.0	0	0	0	True	94.0
GCF_013366925.1	1	100	101	clean	0	0.0	14	1	0	True	94.0
GCF_013366925.1	2	100	97	clean	0	0.0	0	0	0	True	94.0
GCF_013366925.1	3	100	101	clean	0	0.0	0	0	0	True	94.0
GCF_013366925.1	4	100	100	clean	0	0.0	0	0	0	False	94.0
GCF_013366925.1	5	100	99	clean	0	0.0	2	1	0	True	94.0
GCF_013366925.1	6	100	100	clean	0	0.0	2	1	0	False	94.0
GCF_013366925.1	7	100	99	clean	1	0.35	9	2	0	True	94.0
GCF_013366925.1	0	300	262	clean	1	0.08	0	1	0	True	31.5
GCF_013366925.1	1	300	273	clean	0	0.0	4	1	0	True	31.5
GCF_013366925.1	2	300	276	clean	0	0.0	0	0	0	True	31.5
GCF_013366925.1	3	300	276	clean	1	0.07	0	1	0	True	31.5
GCF_013366925.1	4	300	270	clean	0	0.0	0	0	0	True	31.5
GCF_013366925.1	5	300	276	clean	0	0.0	0	0	0	True	31.5
GCF_013366925.1	6	300	279	clean	1	0.04	4	2	0	True	31.5
GCF_013366925.1	7	300	281	clean	0	0.0	0	0	0	True	31.5
GCF_013366925.1	0	1000	751	clean	3	0.36	0	2	0	True	9.5
GCF_013366925.1	1	1000	718	clean	3	0.4	0	1	0	True	9.5
GCF_013366925.1	2	1000	737	clean	3	0.16	0	2	0	True	9.5
GCF_013366925.1	3	1000	737	clean	3	0.13	0	1	0	True	9.5
GCF_013366925.1	4	1000	742	clean	3	0.11	0	2	0	True	9.5
GCF_013366925.1	5	1000	738	clean	1	0.09	0	2	0	True	9.5
GCF_013366925.1	6	1000	727	clean	5	0.25	0	2	0	True	9.5
GCF_013366925.1	7	1000	729	clean	2	0.1	0	2	0	True	9.5
GCA_007995085.1	0	10	12	clean	0	0.0	2	1	0	False	808.7
GCA_007995085.1	1	10	12	clean	0	0.0	1	1	0	False	808.7
GCA_007995085.1	2	10	12	clean	0	0.0	2	1	0	False	808.7
GCA_007995085.1	3	10	12	clean	0	0.0	1	1	0	False	808.7
GCA_007995085.1	4	10	12	clean	0	0.0	2	1	0	False	808.7
GCA_007995085.1	5	10	12	clean	0	0.0	2	1	0	False	808.7
GCA_007995085.1	6	10	12	clean	0	0.0	1	1	0	False	808.7
GCA_007995085.1	7	10	12	clean	0	0.0	1	1	0	False	808.7
GCA_007995085.1	0	50	49	clean	2	0.46	0	1	0	False	186.6
GCA_007995085.1	1	50	50	clean	0	0.0	1	1	0	False	186.6
GCA_007995085.1	2	50	52	clean	0	0.0	3	1	0	False	186.6
GCA_007995085.1	3	50	51	clean	0	0.0	4	1	0	False	186.6
GCA_007995085.1	4	50	51	clean	0	0.0	0	0	0	False	186.6
GCA_007995085.1	5	50	51	clean	1	0.4	0	1	0	False	186.6
GCA_007995085.1	6	50	52	clean	0	0.0	5	1	0	False	186.6
GCA_007995085.1	7	50	51	clean	0	0.0	2	1	0	False	186.6
GCA_007995085.1	0	100	99	clean	0	0.0	1	1	0	False	96.1
GCA_007995085.1	1	100	99	clean	0	0.0	4	1	0	False	96.1
GCA_007995085.1	2	100	98	clean	0	0.0	8	1	0	False	96.1
GCA_007995085.1	3	100	101	clean	0	0.0	7	1	0	False	96.1
GCA_007995085.1	4	100	100	clean	0	0.0	2	1	0	False	96.1
GCA_007995085.1	5	100	98	clean	0	0.0	6	1	0	True	96.1
GCA_007995085.1	6	100	98	clean	0	0.0	6	1	0	True	96.1
GCA_007995085.1	7	100	98	clean	0	0.0	2	1	0	False	96.1
GCA_007995085.1	0	300	277	clean	0	0.0	5	1	0	True	32.1
GCA_007995085.1	1	300	277	clean	1	0.04	17	2	0	True	32.1
GCA_007995085.1	2	300	269	clean	0	0.0	5	1	0	True	32.1
GCA_007995085.1	3	300	278	clean	0	0.0	14	1	0	True	32.1
GCA_007995085.1	4	300	268	clean	0	0.0	13	1	0	True	32.1
GCA_007995085.1	5	300	279	clean	0	0.0	14	1	0	True	32.1
GCA_007995085.1	6	300	280	clean	1	0.04	4	2	0	True	32.1
GCA_007995085.1	7	300	278	clean	0	0.0	8	1	0	True	32.1
GCA_007995085.1	0	1000	748	clean	0	0.0	28	1	0	True	9.7
GCA_007995085.1	1	1000	750	clean	0	0.0	20	1	0	True	9.7
GCA_007995085.1	2	1000	706	clean	2	0.25	2	4	0	True	9.7
GCA_007995085.1	3	1000	748	clean	0	0.0	14	1	0	True	9.7
GCA_007995085.1	4	1000	734	clean	4	0.21	0	1	0	True	9.7
GCA_007995085.1	5	1000	734	clean	0	0.0	15	1	0	True	9.7
GCA_007995085.1	6	1000	708	clean	1	0.13	38	2	0	True	9.7
GCA_007995085.1	7	1000	739	clean	0	0.0	0	1	0	True	9.7
GCF_013426895.1	0	10	11	clean	0	0.0	2	2	0	False	861.0
GCF_013426895.1	1	10	11	clean	0	0.0	3	3	0	False	861.0
GCF_013426895.1	2	10	11	clean	0	0.0	2	1	0	False	861.0
GCF_013426895.1	3	10	11	clean	0	0.0	3	3	0	False	861.0
GCF_013426895.1	4	10	11	clean	0	0.0	2	1	0	False	861.0
GCF_013426895.1	5	10	11	clean	0	0.0	2	1	0	False	861.0
GCF_013426895.1	6	10	11	clean	0	0.0	2	2	0	False	861.0
GCF_013426895.1	7	10	11	clean	0	0.0	2	1	0	False	861.0
GCF_013426895.1	0	50	48	clean	0	0.0	5	1	0	False	189.4
GCF_013426895.1	1	50	48	clean	0	0.0	4	1	0	False	189.4
GCF_013426895.1	2	50	50	clean	0	0.0	5	1	0	False	189.4
GCF_013426895.1	3	50	49	clean	0	0.0	6	1	0	False	189.4
GCF_013426895.1	4	50	49	clean	0	0.0	4	1	0	False	189.4
GCF_013426895.1	5	50	49	clean	0	0.0	3	1	0	False	189.4
GCF_013426895.1	6	50	50	clean	0	0.0	5	1	0	False	189.4
GCF_013426895.1	7	50	50	clean	0	0.0	5	1	0	False	189.4
GCF_013426895.1	0	100	99	clean	0	0.0	5	1	0	False	93.8
GCF_013426895.1	1	100	101	clean	0	0.0	10	1	0	False	93.8
GCF_013426895.1	2	100	98	clean	0	0.0	5	1	0	False	93.8
GCF_013426895.1	3	100	100	clean	0	0.0	2	2	0	False	93.8
GCF_013426895.1	4	100	100	clean	0	0.0	4	1	0	False	93.8
GCF_013426895.1	5	100	98	clean	0	0.0	10	1	0	False	93.8
GCF_013426895.1	6	100	97	clean	0	0.0	2	2	0	False	93.8
GCF_013426895.1	7	100	99	clean	0	0.0	6	1	0	True	93.8
GCF_013426895.1	0	300	274	clean	1	0.43	3	3	0	True	31.6
GCF_013426895.1	1	300	272	clean	0	0.0	0	1	0	False	31.6
GCF_013426895.1	2	300	272	clean	1	0.08	0	2	0	True	31.6
GCF_013426895.1	3	300	279	clean	0	0.0	0	1	0	False	31.6
GCF_013426895.1	4	300	272	clean	0	0.0	15	1	0	False	31.6
GCF_013426895.1	5	300	280	clean	1	0.22	13	2	0	False	31.6
GCF_013426895.1	6	300	278	clean	0	0.0	0	1	0	True	31.6
GCF_013426895.1	7	300	276	clean	0	0.0	14	1	0	False	31.6
GCF_013426895.1	0	1000	746	clean	0	0.0	0	1	0	True	9.5
GCF_013426895.1	1	1000	740	clean	1	0.11	0	2	0	True	9.5
GCF_013426895.1	2	1000	697	clean	0	0.0	0	1	0	True	9.5
GCF_013426895.1	3	1000	744	clean	0	0.0	14	1	0	True	9.5
GCF_013426895.1	4	1000	734	clean	0	0.0	0	1	0	True	9.5
GCF_013426895.1	5	1000	722	clean	0	0.0	13	1	0	True	9.5
GCF_013426895.1	6	1000	715	clean	1	0.16	0	2	0	True	9.5
GCF_013426895.1	7	1000	726	clean	0	0.0	0	1	0	True	9.5
