Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly Name	Assembly Level	Assembly BioProject Lineage Accession	Assembly BioSample Accession	Assembly Submitter	Assembly Release Date	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats GC Percent
GCA_038900735.1	Cupriavidus taiwanensis	164546	JHI1662		ASM3890073v1	Contig	PRJNA1062061	SAMN39286529	The James Hutton Institute	2024-04-30	6760706	184	370046	370046	67
GCA_000069785.1	Cupriavidus taiwanensis LMG 19424	977880	LMG 19424		ASM6978v1	Chromosome	PRJNA15733	SAMEA3138280	Genoscope	2008-03-27	6476522	5	3416911	3416911	67
GCA_000472465.1	Cupriavidus taiwanensis STM 6018	1040978	STM 6018		ASM47246v1	Contig	PRJNA165307	SAMN02440787	DOE Joint Genome Institute	2013-09-30	6553639	80	370421	370421	67
GCA_000684975.1	Paraburkholderia acidipaludis NBRC 101816	1218074	NBRC 101816		ASM68497v1	Contig	PRJDB247	SAMD00000367	National Institute of Technology and Evaluation	2014-04-28	6475434	64	204381	204381	65
GCF_009362785.1	Paraburkholderia atlantica	2654982	CNPSo 3155		ASM936278v1	Contig	PRJNA578139	SAMN13050733	Embrapa Soja	2019-10-26	8951596	246	188677	188677	63
GCA_007995085.1	Paraburkholderia azotifigens	2057004	NF 2-5-3		ASM799508v1	Contig	PRJNA558192	SAMN12429752	Hankyong National University	2019-08-13	9704342	5	3220671	3220671	62.5
GCA_038900585.1	Paraburkholderia azotifigens	2057004	JPY534		ASM3890058v1	Contig	PRJNA1062061	SAMN39286537	The James Hutton Institute	2024-04-30	9505939	223	181257	181257	62.5
GCA_038900655.1	Paraburkholderia azotifigens	2057004	JPY105		ASM3890065v1	Contig	PRJNA1062061	SAMN39286534	The James Hutton Institute	2024-04-30	10127476	518	99121	99121	62.5
GCA_902859945.1	Paraburkholderia caffeinitolerans	1723730	LMG 28688	LMG 28688	LMG 28688	Contig	PRJEB37806	SAMEA6678270	GHENT UNIVERSITY	2020-05-07	8054104	138	149104	149104	64
GCF_001449005.1	Paraburkholderia caribensis	75105	MWAP64		ASM144900v1	Complete Genome	PRJNA294731	SAMN04031629	University of Hong Kong	2015-11-24	9032119	4	2890272	2890272	62.5
GCA_038900795.1	Paraburkholderia caribensis	75105	JHI1650		ASM3890079v1	Contig	PRJNA1062061	SAMN39286528	The James Hutton Institute	2024-04-30	9222133	320	128957	128957	62.5
GCA_039822685.1	Paraburkholderia caribensis	75105	JHI1651		ASM3982268v1	Contig	PRJNA1062057	SAMN39286212	The James Hutton Institute	2024-05-24	9202299	275	116966	116966	62.5
GCA_040965495.1	Paraburkholderia caribensis	75105	EG282B		ASM4096549v1	Contig	PRJNA1062061	SAMN42584297	The James Hutton Institute	2024-07-30	9336161	287	152766	152766	62.5
GCA_038900755.1	Paraburkholderia diazotrophica	667676	JPY565		ASM3890075v1	Contig	PRJNA1062057	SAMN39286530	The James Hutton Institute	2024-04-30	7966769	96	581067	581067	62.5
GCA_900108945.1	Paraburkholderia diazotrophica	667676	LMG 26031		IMG-taxon 2654588103 annotated assembly	Scaffold	PRJEB16816	SAMN05192539	DOE - JOINT GENOME INSTITUTE	2016-10-31	8688577	114	180974	180974	62.5
GCA_003003375.1	Paraburkholderia eburnea	1189126	LMG 29537		ASM300337v1	Scaffold	PRJNA364281	SAMN06264942	DOE Joint Genome Institute	2018-03-15	6951127	58	307174	307174	64
GCA_038900555.1	Paraburkholderia ferrariae	386056	JPY167		ASM3890055v1	Contig	PRJNA1062061	SAMN39286539	The James Hutton Institute	2024-04-30	8424499	75	647595	647595	64
GCF_009362735.1	Paraburkholderia franconis	2654983	CNPSo 3157		ASM936273v1	Contig	PRJNA578130	SAMN13050534	Embrapa Soja	2019-10-26	10047340	259	135516	135516	62.5
GCA_004353905.1	Paraburkholderia guartelaensis	2546446	CNPSo 3008		ASM435390v1	Contig	PRJNA526147	SAMN11089664	Embrapa Soja	2019-03-17	9532701	173	172576	172576	63.5
GCA_038900575.1	Paraburkholderia guartelaensis	2546446	JPY164		ASM3890057v1	Contig	PRJNA1062061	SAMN39286538	The James Hutton Institute	2024-04-30	8369933	101	393028	393028	64
GCA_000739775.1	Paraburkholderia heleia NBRC 101817	1218080	NBRC 101817		ASM73977v1	Contig	PRJDB253	SAMD00017342	National Institute of Technology and Evaluation	2014-07-25	8007470	110	161028	161028	64.5
GCF_013426895.1	Paraburkholderia largidicola	3014751	PGU16		ASM1342689v1	Complete Genome	PRJDB9848	SAMD00227920	Department of Biotechnology, Faculty of Bioresource Sciences, Akita Prefectural University	2020-07-13	9470940	5	2703868	2703868	62.5
GCA_000472825.1	Paraburkholderia mimosarum LMG 23256 = NBRC 106338	1038869	LMG 23256		ASM47282v1	Scaffold	PRJNA163559	SAMN02440713	DOE Joint Genome Institute	2013-09-30	8410967	270	124968	124968	64
GCA_000519185.1	Paraburkholderia nodosa DSM 21604	1121127	DSM 21604		ASM51918v1	Scaffold	PRJNA165365	SAMN02584919	DOE Joint Genome Institute	2014-01-13	9627966	130	195270	195270	64
GCA_040948545.1	Paraburkholderia phenoliruptrix	252970	BR14536		ASM4094854v1	Contig	PRJNA1062061	SAMN42584291	The James Hutton Institute	2024-07-29	6754963	77	409215	409215	63.5
GCA_040948565.1	Paraburkholderia phenoliruptrix	252970	BR14375		ASM4094856v1	Contig	PRJNA1062061	SAMN42584288	The James Hutton Institute	2024-07-29	6753034	75	785571	785571	63.5
GCA_040948575.1	Paraburkholderia phenoliruptrix	252970	BR14428		ASM4094857v1	Contig	PRJNA1062061	SAMN42584290	The James Hutton Institute	2024-07-29	6866623	140	235635	235635	63.5
GCA_902860235.1	Paraburkholderia phenoliruptrix	252970	LMG 9964	LMG 9964	LMG 9964	Contig	PRJEB37806	SAMEA6797708	GHENT UNIVERSITY	2020-05-07	7602199	42	570520	570520	63
GCA_000300095.1	Paraburkholderia phenoliruptrix BR3459a	1229205	BR3459a		ASM30009v1	Complete Genome	PRJNA174166	SAMN02603523	LNCC	2012-09-28	7651131	3	4152217	4152217	63
GCA_038900715.1	Paraburkholderia phymatum	148447	JPY584		ASM3890071v1	Contig	PRJNA1062061	SAMN39286531	The James Hutton Institute	2024-04-30	9256872	135	295381	295381	62.5
GCA_040965635.1	Paraburkholderia phymatum	148447	EG181B		ASM4096563v1	Contig	PRJNA1062061	SAMN42584293	The James Hutton Institute	2024-07-30	8724362	179	189548	189548	62.5
GCF_000020045.1	Paraburkholderia phymatum STM815	391038	STM815		ASM2004v1	Complete Genome	PRJNA17409	SAMN02598384	US DOE Joint Genome Institute	2008-04-22	8676562	4	2697374	2697374	62.5
GCF_900007165.1	Paraburkholderia piptadeniae	1701573	STM7183		BN2476-7183	Scaffold	PRJEB10535	SAMEA3513432	IRD	2017-01-23	9710046	335	112386	129736	62.5
GCF_014397785.1	Paraburkholderia podalyriae	1938811	WC7.3b		ASM1439778v1	Contig	PRJNA573588	SAMN12817780	University of Pretoria	2020-09-02	9362088	382	162521	162521	62.5
GCA_038900675.1	Paraburkholderia sabiae	273251	JPY77		ASM3890067v1	Contig	PRJNA1062061	SAMN39286533	The James Hutton Institute	2024-04-30	9824599	254	163859	163859	62
GCA_040965835.1	Paraburkholderia sp. BR10872	3236989	BR10872		ASM4096583v1	Contig	PRJNA1062061	SAMN42584269	The James Hutton Institute	2024-07-30	8630791	221	112104	112104	64
GCA_040948855.1	Paraburkholderia sp. BR10882	3236991	BR10882		ASM4094885v1	Contig	PRJNA1062061	SAMN42584271	The James Hutton Institute	2024-07-29	8889277	114	395628	395628	64
GCA_040948765.1	Paraburkholderia sp. BR10923	3236992	BR10923		ASM4094876v1	Contig	PRJNA1062061	SAMN42584272	The James Hutton Institute	2024-07-29	8981396	272	227872	227872	63
GCA_040965735.1	Paraburkholderia sp. BR10936	3236993	BR10936		ASM4096573v1	Contig	PRJNA1062061	SAMN42584273	The James Hutton Institute	2024-07-30	8801635	108	316057	316057	64
GCA_040965695.1	Paraburkholderia sp. BR10937	3236994	BR10937		ASM4096569v1	Contig	PRJNA1062061	SAMN42584274	The James Hutton Institute	2024-07-30	9273314	339	131818	131818	64
GCA_040965775.1	Paraburkholderia sp. BR10954	3236995	BR10954		ASM4096577v1	Contig	PRJNA1062061	SAMN42584275	The James Hutton Institute	2024-07-30	8959773	381	191891	191891	63
GCA_040948805.1	Paraburkholderia sp. BR13439	3236996	BR13439		ASM4094880v1	Contig	PRJNA1062061	SAMN42584276	The James Hutton Institute	2024-07-29	9169703	256	306837	306837	63
GCA_040948815.1	Paraburkholderia sp. BR14262	3236999	BR14262		ASM4094881v1	Contig	PRJNA1062061	SAMN42584279	The James Hutton Institute	2024-07-29	8792269	1243	15845	15845	64
GCA_040948745.1	Paraburkholderia sp. BR14263	3237000	BR14263		ASM4094874v1	Contig	PRJNA1062061	SAMN42584280	The James Hutton Institute	2024-07-29	9060007	202	178108	178108	64
GCA_040948695.1	Paraburkholderia sp. BR14311	3237002	BR14311		ASM4094869v1	Contig	PRJNA1062061	SAMN42584282	The James Hutton Institute	2024-07-29	9070604	157	447556	447556	64
GCA_040948675.1	Paraburkholderia sp. BR14312	3237003	BR14312		ASM4094867v1	Contig	PRJNA1062061	SAMN42584283	The James Hutton Institute	2024-07-29	9078285	116	501797	501797	64
GCA_040948645.1	Paraburkholderia sp. BR14317	3237004	BR14317		ASM4094864v1	Contig	PRJNA1062061	SAMN42584284	The James Hutton Institute	2024-07-29	9066122	199	215751	215751	64
GCA_040965815.1	Paraburkholderia sp. BR14319	3237005	BR14319		ASM4096581v1	Contig	PRJNA1062061	SAMN42584285	The James Hutton Institute	2024-07-30	9096261	474	72443	72443	64
GCA_040948665.1	Paraburkholderia sp. BR14320	3237006	BR14320		ASM4094866v1	Contig	PRJNA1062061	SAMN42584286	The James Hutton Institute	2024-07-29	8635746	430	126228	126228	63
GCA_040948685.1	Paraburkholderia sp. BR14374	3237007	BR14374		ASM4094868v1	Contig	PRJNA1062061	SAMN42584287	The James Hutton Institute	2024-07-29	8230978	181	384354	384354	63
GCA_040948625.1	Paraburkholderia sp. BR14427	3237008	BR14427		ASM4094862v1	Contig	PRJNA1062061	SAMN42584289	The James Hutton Institute	2024-07-29	8691941	578	184700	184700	63
GCA_040965675.1	Paraburkholderia sp. EG285A	3237009	EG285A		ASM4096567v1	Contig	PRJNA1062061	SAMN42584292	The James Hutton Institute	2024-07-30	9513366	331	202751	202751	64
GCA_040965375.1	Paraburkholderia sp. EG286A	3237014	EG286A		ASM4096537v1	Contig	PRJNA1062061	SAMN42584299	The James Hutton Institute	2024-07-30	9276753	63	952980	952980	64.5
GCA_040965655.1	Paraburkholderia sp. EG286B	3237011	EG286B		ASM4096565v1	Contig	PRJNA1062061	SAMN42584295	The James Hutton Institute	2024-07-30	9566698	302	384707	384707	64
GCA_040965615.1	Paraburkholderia sp. EG287A	3237012	EG287A		ASM4096561v1	Contig	PRJNA1062061	SAMN42584296	The James Hutton Institute	2024-07-30	10016852	72	696934	696934	64
GCA_040965595.1	Paraburkholderia sp. EG287B	3237010	EG287B		ASM4096559v1	Contig	PRJNA1062061	SAMN42584294	The James Hutton Institute	2024-07-30	9359446	129	365958	365958	64.5
GCA_038900695.1	Paraburkholderia sp. JHI2823	3112960	JHI2823		ASM3890069v1	Contig	PRJNA1062061	SAMN39286532	The James Hutton Institute	2024-04-30	8411795	467	156011	156011	64
GCA_038900775.1	Paraburkholderia sp. JHI869	3112959	JHI869		ASM3890077v1	Contig	PRJNA1062061	SAMN39286527	The James Hutton Institute	2024-04-30	9763412	135	237306	237306	63.5
GCA_004197395.1	Paraburkholderia sp. UYCP14C	2511130	UYCPa14C		ASM419739v1	Contig	PRJNA517875	SAMN10846787	IIBCE	2019-02-15	9831543	427	121179	121179	63
GCA_038900535.1	Paraburkholderia unamae	219649	JPY452		ASM3890053v1	Contig	PRJNA1062061	SAMN39286540	The James Hutton Institute	2024-04-30	8951756	228	210427	210427	64.5
GCF_013366925.1	Paraburkholderia youngii	2782701	JPY169		ASM1336692v1	Contig	PRJNA607730	SAMN14144370	University of Pretoria	2020-06-22	9492390	4	6823646	6823646	63
GCA_040965455.1	Trinickia sp. EG282A	3237013	EG282A		ASM4096545v1	Contig	PRJNA1062061	SAMN42584298	The James Hutton Institute	2024-07-30	6938500	61	1086331	1086331	63
